pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin
7.5,2.0,20.1,0.5,1.0,1.0,17.071148972019923,1.2714586695105247e-27
7.4,2.0,20.1,0.5,1.0,1.0,17.039855307501252,-4.9995150604445995e-28
7.3,2.0,20.1,0.5,1.0,1.0,17.008583816540582,1.2367614410500475e-28
7.2,2.0,20.1,0.5,1.0,1.0,16.97732805993161,-2.219082605079597e-28
7.1,2.0,20.1,0.5,1.0,1.0,16.946094885468266,1.1884348502968539e-31
7.0,2.0,20.1,0.5,1.0,1.0,16.914880379958692,4.350643408389748e-31
7.7,2.0,20.0,0.5,1.0,1.0,17.071386305976,-4.799812364057743e-28
7.6,2.0,20.0,0.5,1.0,1.0,17.039857558016443,-4.9730330488009815e-30
7.5,2.0,20.0,0.5,0.9999999999999999,1.0,17.008348956042713,2.0777460099756596e-30
7.4,2.0,20.0,0.5,1.0,1.0,16.97686052344008,-9.099603698317359e-29
7.3,2.0,20.0,0.5,1.0,1.0,16.9453930220933,-2.5042336337722056e-28
7.2,2.0,20.0,0.5,1.0,1.0,16.91394449771978,-1.1616722892222921e-21
7.9,2.0,19.9,0.5,1.0,1.0,17.072652394519558,1.580122367862791e-27
7.8,2.0,19.9,0.5,1.0,1.0,17.04088496219988,1.117681953005264e-27
7.7,2.0,19.9,0.5,1.0,1.0,17.009137964873677,-3.3888161030177847e-31
7.6,2.0,19.9,0.5,1.0,1.0,16.97741143492307,-1.2538954837994674e-21
7.5,2.0,19.9,0.5,1.0,1.0,16.945705317796904,-4.064541172014978e-28
7.4,2.0,19.9,0.5,1.0,1.0,16.914019636391394,6.497363692638136e-26
8.1,2.0,19.8,0.5,1.0,0.9999999999999999,17.074971338261175,6.173720253348095e-31
8.0,2.0,19.8,0.5,1.0,1.0,17.042959078751835,3.1826912789267485e-29
7.9,2.0,19.8,0.5,1.0,1.0,17.010970037620258,-1.6551870471473753e-28
7.8,2.0,19.8,0.5,1.0,1.0,16.97900170964302,-1.5835433542543506e-29
7.7,2.0,19.8,0.5,1.0,1.0,16.947054090206873,-6.28961166579084e-31
7.6,2.0,19.8,0.5,1.0,1.0,16.91512720687661,5.251510303855819e-33
8.3,2.0,19.7,0.5,1.0,1.0,17.078360953440285,1.0444320137873336e-29
8.2,2.0,19.7,0.5,1.0,1.0,17.04610473095748,1.231525293115132e-27
8.1,2.0,19.7,0.5,1.0,1.0,17.013869672132792,-8.061987622787983e-29
8.0,2.0,19.7,0.5,1.0,1.0,16.98165550681691,-1.049708823366898e-27
7.9,2.0,19.7,0.5,1.0,1.0,16.94946056679526,-5.754668592220281e-33
7.8,2.0,19.7,0.5,1.0,1.0,16.917288776836084,-3.687079180399903e-31
8.5,2.0,19.6,0.5,1.0,1.0,17.082845979586928,-1.1921759742617431e-26
8.4,2.0,19.6,0.5,1.0,1.0,17.050339774706025,1.3096190807778388e-27
8.3,2.0,19.6,0.5,1.0,1.0,17.017855125475492,-1.4425872828121648e-30
8.2,2.0,19.6,0.5,1.0,1.0,16.985391646142848,3.8491364467595906e-29
8.1,2.0,19.6,0.5,1.0,1.0,16.952949922967665,7.947492659577284e-28
8.0,2.0,19.6,0.5,1.0,1.0,16.920528657855282,-7.47682961148364e-30
8.7,2.0,19.5,0.5,1.0,1.0,17.088450538328754,-6.0495444179546106e-30
8.6,2.0,19.5,0.5,1.0,1.0,17.055690065282075,2.350821992578963e-27
8.5,2.0,19.5,0.5,1.0,1.0,17.0229516203762,-4.093303962185161e-28
8.4,2.0,19.5,0.5,1.0,1.0,16.99023485591099,-4.627907119935458e-28
8.3,2.0,19.5,0.5,1.0,1.0,16.957540009588143,1.3075917578132068e-27
8.2,2.0,19.5,0.5,1.0,1.0,16.92486649722523,9.419640263791194e-28
8.9,2.0,19.4,0.5,1.0,1.0,17.095197546346746,1.0922760952892604e-27
8.8,2.0,19.4,0.5,1.0,1.0,17.062180055901052,1.1048505353582095e-27
8.7,2.0,19.4,0.5,1.0,1.0,17.029183643801254,6.517759174265527e-28
8.6,2.0,19.4,0.5,1.0,1.0,16.99620933547473,-5.8233696444921865e-30
8.5,2.0,19.4,0.5,1.0,1.0,16.963257215822537,6.9751861016777725e-28
8.4,2.0,19.4,0.5,1.0,1.0,16.930327185101802,8.57803152442922e-33
9.0,2.0,19.3,0.5,1.0,1.0,17.06983285889462,-2.945196228756333e-28
8.9,2.0,19.3,0.5,1.0000000000000002,1.0,17.036574717785196,-5.851932747326126e-36
8.8,2.0,19.3,0.5,1.0,1.0,17.003338932457275,8.316988185637807e-30
8.7,2.0,19.3,0.5,1.0,1.0,16.970126492320002,-7.750108305729045e-30
8.6,2.0,19.3,0.5,1.0,1.0,16.93693546053152,-3.5326328838858525e-30
8.5,2.0,19.3,0.5,1.0,1.0,16.903766845434323,1.4640417870948292e-28
9.0,2.0,19.2,0.5,1.0,1.0,17.011650398769852,2.700422883973684e-28
8.9,2.0,19.2,0.5,1.0000000000000002,1.0,16.978171641559165,-3.276929045512808e-27
8.8,2.0,19.2,0.5,1.0,1.0,16.94471542349356,-6.544461848737395e-27
8.7,2.0,19.2,0.5,1.0,1.0,16.911282085204146,2.0793520678392207e-27
9.0,2.0,19.1,0.5,1.0,1.0,16.95369454148781,-2.4018695116587233e-30
8.9,2.0,19.1,0.5,1.0,1.0,16.91999257200098,-3.2707994784391253e-28
9.0,2.0,7.1,0.5,1.0,1.0,16.92563967163627,-1.821371118930969e-29
8.9,2.0,7.0,0.5,1.0,1.0,16.992810968375576,-1.1144138009080232e-28
8.8,2.0,6.9,0.5,1.0,1.0,17.06564852397609,9.269787439801189e-28
8.7,2.0,6.9,0.5,1.0,1.0,16.910272057938776,5.494951472958555e-31
8.6,2.0,6.8,0.5,1.0,1.0,16.985411487242974,-1.261210152832716e-28
8.5,2.0,6.7,0.5,1.0,1.0,17.066718863008475,1.0145263201883785e-27
8.4,2.0,6.7,0.5,1.0,1.0,16.904340174267958,8.073183828441549e-28
8.3,2.0,6.6,0.5,1.0,1.0,16.988183187537206,8.32048990195959e-28
8.2,2.0,6.5,0.5,1.0,0.9999999999999999,17.0788278049576,1.2188382979534098e-28
8.1,2.0,6.5,0.5,1.0,1.0,16.908871594555034,-9.075175820716232e-30
8.0,2.0,6.4,0.5,1.0,1.0,17.002257407029997,-1.3759556371163873e-29
7.8,2.0,6.3,0.5,1.0,1.0,16.924831949205522,9.229531342631351e-28
7.7,2.0,6.2,0.5,1.0,1.0,17.028630044849372,2.6901305385579574e-27
7.5,2.0,6.1,0.5,1.0,1.0,16.9534635425168,7.586538402310251e-29
7.4,2.0,6.0,0.5,1.0,1.0,17.068914673323142,-3.496651695534666e-27
7.2,2.0,5.9,0.5,1.0,1.0,16.99636080659165,8.584309082882135e-28
7.0,2.0,5.8,0.5,1.0,1.0,16.922858587070518,-2.328574195596542e-30
6.9,2.0,5.7,0.5,1.0,0.9999999999999999,17.05508519793949,-9.670158389804162e-30
6.7,2.0,5.6,0.5,1.0,1.0,16.98461807556728,-2.0592346171928093e-29
6.5,2.0,5.5,0.5,0.9999999999999999,1.0,16.91307768115135,-2.4568547695135317e-30
