pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin
1.1,10.0,16.9,0.0,1.0,1.0,17.074974782688706,0.0
1.4,10.0,16.8,0.0,1.0,1.0,17.093082944574753,0.0
1.3,10.0,16.8,0.0,1.0,1.0,17.054048694346243,0.0
1.2,10.0,16.8,0.0,1.0,0.9999999999999999,17.015052677789072,0.0
1.1,10.0,16.8,0.0,0.9999999999999999,1.0,16.976095020120326,0.0
1.6,10.0,16.7,0.0,1.0,1.0,17.073669702991225,0.0
1.5,10.0,16.7,0.0,1.0,1.0,17.03430366800279,0.0
1.4,10.0,16.7,0.0,1.0,1.0,16.994976722459434,0.0
1.3,10.0,16.7,0.0,1.0,1.0,16.95568894432698,0.0
1.2,10.0,16.7,0.0,1.0,1.0,16.916440046091747,0.0
1.9,10.0,16.6,0.0,1.0,0.9999999999999999,17.095216488127935,0.0
1.8,10.0,16.6,0.0,1.0,1.0,17.055472790710954,0.0
1.7,10.0,16.6,0.0,1.0,1.0,17.01576889917676,0.0
1.6,10.0,16.6,0.0,1.0,1.0,16.976104798192036,0.0
1.5,10.0,16.6,0.0,1.0,1.0,16.936480485387875,0.0
2.1,10.0,16.5,0.0,0.9999999999999999,1.0,17.07861064516376,0.0
2.0,10.0,16.5,0.0,1.0,1.0,17.038522130676593,0.0
1.9,10.0,16.5,0.0,1.0,1.0,16.99847406040954,0.0
1.8,10.0,16.5,0.0,1.0,1.0,16.95846651683039,0.0
1.7,10.0,16.5,0.0,1.0,0.9999999999999999,16.91849946026783,0.0
2.3,10.0,16.4,0.0,1.0,1.0,17.063288491026512,0.0
2.2,10.0,16.4,0.0,1.0,1.0,17.022848565362807,0.0
2.1,10.0,16.4,0.0,1.0,1.0,16.9824497860652,0.0
2.0,10.0,16.4,0.0,1.0,1.0,16.942092447065644,0.0
1.9,10.0,16.4,0.0,1.0,1.0,16.901776188669622,0.0
2.6,10.0,16.3,0.0,0.9999999999999999,1.0,17.09012249868629,0.0
2.5,10.0,16.3,0.0,1.0,1.0,17.049282387248667,0.0
2.4,10.0,16.3,0.0,1.0,0.9999999999999999,17.008484259533162,0.0
2.3,10.0,16.3,0.0,1.0,1.0,16.96772810525953,0.0
2.2,10.0,16.3,0.0,1.0,1.0,16.927014105824856,0.0
2.8,10.0,16.2,0.0,1.0,1.0,17.07783109980058,0.0
2.7,10.0,16.2,0.0,0.9999999999999999,1.0,17.03662521539266,0.0
2.6,10.0,16.2,0.0,1.0,1.0,16.99546218120759,0.0
2.5,10.0,16.2,0.0,1.0,1.0,16.954341905721613,0.0
2.4,10.0,16.2,0.0,1.0,1.0,16.9132643548551,0.0
3.0,10.0,16.1,0.0,1.0,1.0,17.066930280181616,0.0
2.9,10.0,16.1,0.0,1.0,1.0,17.025351541673945,0.0
2.8,10.0,16.1,0.0,1.0,1.0,16.9838164104267,0.0
2.7,10.0,16.1,0.0,1.0,1.0,16.942324876106657,0.0
2.6,10.0,16.1,0.0,1.0,1.0,16.900876947261533,0.0
3.3,10.0,16.0,0.0,1.0,1.0,17.099459162538736,0.0
3.2,10.0,16.0,0.0,1.0,1.0,17.05745579120613,0.0
3.1,10.0,16.0,0.0,1.0,1.0,17.015496903417176,0.0
3.0,10.0,16.0,0.0,1.0,1.0,16.973582433818716,0.0
2.9,10.0,16.0,0.0,1.0,1.0,16.9317123532863,0.0
3.5,10.0,15.9,0.0,0.9999999999999999,1.0,17.091836535162777,0.0
3.4,10.0,15.9,0.0,1.0000000000000002,1.0,17.049444647384057,0.0
3.3,10.0,15.9,0.0,1.0,1.0,17.00709807987346,0.0
3.2,10.0,15.9,0.0,1.0,1.0,16.96479673078502,0.0
3.1,10.0,15.9,0.0,1.0,1.0,16.922540685340252,0.0
3.7,10.0,15.8,0.0,1.0,1.0,17.085723293209636,0.0
3.6,10.0,15.8,0.0,1.0,1.0,17.042935134319883,0.0
3.5,10.0,15.8,0.0,1.0,1.0,17.000193122630822,0.0
3.4,10.0,15.8,0.0,1.0,1.0,16.957497250796635,0.0
3.3,10.0,15.8,0.0,1.0,1.0,16.914847515583983,0.0
3.9,10.0,15.7,0.0,1.0,1.0,17.081159688589334,0.0
3.8,10.0,15.7,0.0,1.0,1.0,17.03796688123514,0.0
3.7,10.0,15.7,0.0,1.0,1.0,16.994821500012193,0.0
3.6,10.0,15.7,0.0,1.0,1.0,16.951723142475227,0.0
3.5,10.0,15.7,0.0,1.0,1.0,16.908671776899464,0.0
4.1,10.0,15.6,0.0,0.9999999999999999,1.0,17.078184283194236,0.0
4.0,10.0,15.6,0.0,1.0,1.0,17.034580420606197,0.0
3.9,10.0,15.6,0.0,1.0,1.0,16.991024421254924,0.0
3.8,10.0,15.6,0.0,1.0,1.0,16.947514983898543,0.0
3.7,10.0,15.6,0.0,1.0,1.0,16.90405386097547,0.0
4.3,10.0,15.5,0.0,1.0,1.0,17.076843917556033,0.0
4.2,10.0,15.5,0.0,1.0,1.0,17.032818146074632,0.0
4.1,10.0,15.5,0.0,1.0,1.0,16.98884338615885,0.0
4.0,10.0,15.5,0.0,0.9999999999999999,0.9999999999999999,16.944914913625617,0.0
3.9,10.0,15.5,0.0,1.0,1.0,16.901035973111792,0.0
4.5,10.0,15.4,0.0,1.0000000000000002,1.0,17.077181135522203,0.0
4.4,10.0,15.4,0.0,1.0,1.0,17.03272573500744,0.0
4.3,10.0,15.4,0.0,1.0,1.0,16.988321581252503,0.0
4.2,10.0,15.4,0.0,1.0,1.0,16.94396670101133,0.0
4.7,10.0,15.3,0.0,1.0,1.0,17.07924099995499,0.0
4.6,10.0,15.3,0.0,1.0,1.0,17.034347020423766,0.0
4.5,10.0,15.3,0.0,1.0,1.0,16.98950387417753,0.0
4.4,10.0,15.3,0.0,1.0,1.0,16.94471477122675,0.0
4.9,10.0,15.2,0.0,1.0,1.0,17.08307255656095,0.0
4.8,10.0,15.2,0.0,1.0,1.0,17.03773071717402,0.0
4.7,10.0,15.2,0.0,1.0,1.0,16.992440712626433,0.0
4.6,10.0,15.2,0.0,1.0,0.9999999999999999,16.94720251587723,0.0
4.5,10.0,15.2,0.0,0.9999999999999999,1.0,16.90201610015529,0.0
5.1,10.0,15.1,0.0,1.0,1.0,17.08872449136836,0.0
5.0,10.0,15.1,0.0,1.0,1.0,17.042925238264136,0.0
4.9,10.0,15.1,0.0,1.0,1.0,16.99717887312006,0.0
4.8,10.0,15.1,0.0,1.0,1.0,16.951485354037924,0.0
4.7,10.0,15.1,0.0,1.0,1.0,16.90584456413915,0.0
5.3,10.0,15.0,0.0,1.0,1.0,17.09624795798721,0.0
5.2,10.0,15.0,0.0,1.0,1.0,17.04998148418676,0.0
5.1,10.0,15.0,0.0,1.0,1.0,17.003768956206297,0.0
5.0,10.0,15.0,0.0,1.0,1.0,16.957610198682545,0.0
4.9,10.0,15.0,0.0,1.0,1.0,16.911505195827782,0.0
5.4,10.0,14.9,0.0,1.0,1.0,17.058952026596362,0.0
5.3,10.0,14.9,0.0,1.0,1.0,17.012263021491165,0.0
5.2,10.0,14.9,0.0,1.0,1.0,16.96562889631771,0.0
5.1,10.0,14.9,0.0,0.9999999999999999,1.0,16.919047609854562,0.0
5.6,10.0,14.8,0.0,1.0,1.0,17.069895200951578,0.0
5.5,10.0,14.8,0.0,1.0,1.0,17.022716300684166,0.0
5.4,10.0,14.8,0.0,0.9999999999999999,1.0,16.975601126272778,0.0
5.3,10.0,14.8,0.0,1.0,1.0,16.928538104141186,0.0
5.8,10.0,14.7,0.0,1.0,1.0,17.082862569911327,0.0
5.7,10.0,14.7,0.0,0.9999999999999999,0.9999999999999999,17.03518669107407,0.0
5.6,10.0,14.7,0.0,1.0,1.0,16.98757458786019,0.0
5.5,10.0,14.7,0.0,0.9999999999999999,0.9999999999999999,16.940018083752477,0.0
6.0,10.0,14.6,0.0,1.0,1.0,17.0979162805116,0.0
5.9,10.0,14.6,0.0,1.0,1.0,17.04973405562697,0.0
5.8,10.0,14.6,0.0,1.0,1.0,17.001613199926247,0.0
5.7,10.0,14.6,0.0,1.0,1.0,16.953549304008025,0.0
5.6,10.0,14.6,0.0,1.0,1.0,16.90554398664675,0.0
6.1,10.0,14.5,0.0,1.0,1.0,17.066411157443117,0.0
6.0,10.0,14.5,0.0,1.0,1.0,17.01776955455789,0.0
5.9,10.0,14.5,0.0,1.0,0.9999999999999999,16.969187159046232,0.0
