pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,
1.4,2,17.1,0.1,1,1,17.08970452,7.85E-28,,,,,,,,
1.3,2,17.1,0.1,1,1,17.05169486,-9.97E-27,,,,,,,,
1.2,2,17.1,0.1,1,1,17.01372287,-1.36E-33,,,,,,,,
1.1,2,17.1,0.1,1,1,16.9757856,-2.36E-29,,,,,,,,
1.6,2,17,0.1,1,1,17.06833242,1.46E-28,,,,,,,,
1.5,2,17,0.1,1,1,17.0300072,-4.21E-28,,,,,,,,
1.4,2,17,0.1,1,1,16.99171995,-3.99E-28,,,,,,,,
1.3,2,17,0.1,1,1,16.95347029,5.77E-29,,,,,,,,
1.2,2,17,0.1,1,1,16.91525779,1.95E-27,,,,,,,,
1.9,2,16.9,0.1,1,1,17.08678586,7.47E-28,,,,,,,,
1.8,2,16.9,0.1,1,1,17.04810398,1.18E-27,,,,,,,,
1.7,2,16.9,0.1,1,1,17.00945935,6.55E-27,,,,,,,,
1.6,2,16.9,0.1,1,1,16.97085207,-1.35E-30,,,,,,,,
1.5,2,16.9,0.1,1,1,16.93228148,8.07E-17,,,,,,,,
2.1,2,16.8,0.1,1,1,17.06805632,4.69E-26,,,,,,,,
2,2,16.8,0.1,1,1,17.02904658,-1.81E-30,,,,,,,,
1.9,2,16.8,0.1,1,1,16.99007534,8.35E-28,,,,,,,,
1.8,2,16.8,0.1,1,1,16.95114295,-1.99E-31,,,,,,,,
1.7,2,16.8,0.1,1,1,16.91224845,-3.78E-28,,,,,,,,
2.4,2,16.7,0.1,1,1,17.08991542,4.01E-26,,,,,,,,
2.3,2,16.7,0.1,1,1,17.05053306,-1.45E-28,,,,,,,,
2.2,2,16.7,0.1,1,1,17.01119042,9.13E-28,,,,,,,,
2.1,2,16.7,0.1,1,1,16.97188614,1.06E-28,,,,,,,,
2,2,16.7,0.1,1,1,16.93262119,-2.88E-29,,,,,,,,
2.6,2,16.6,0.1,1,1,17.0739686,1.52E-27,,,,,,,,
2.5,2,16.6,0.1,1,1,17.03424624,1.39E-32,,,,,,,,
2.4,2,16.6,0.1,1,1,16.99456348,-2.84E-27,,,,,,,,
2.3,2,16.6,0.1,1,1,16.95492059,9.27E-28,,,,,,,,
2.2,2,16.6,0.1,1,1,16.91531741,-1.27E-30,,,,,,,,
2.9,2,16.5,0.1,1,1,17.09940417,2.87E-26,,,,,,,,
2.8,2,16.5,0.1,1,1,17.0592942,2.82E-29,,,,,,,,
2.7,2,16.5,0.1,1,1,17.01922522,-4.24E-29,,,,,,,,
2.6,2,16.5,0.1,1,1,16.97919685,3.72E-26,,,,,,,,
2.5,2,16.5,0.1,1,1,16.9392089,1.17E-28,,,,,,,,
3.1,2,16.4,0.1,1,1,17.08638845,-2.43E-28,,,,,,,,
3,2,16.4,0.1,1,1,17.045925,4.19E-28,,,,,,,,
2.9,2,16.4,0.1,1,1,17.00550274,2.29E-27,,,,,,,,
2.8,2,16.4,0.1,1,1,16.96512162,-3.91E-28,,,,,,,,
2.7,2,16.4,0.1,1,1,16.92478163,-2.72E-27,,,,,,,,
3.3,2,16.3,0.1,1,1,17.07471687,6.02E-30,,,,,,,,
3.2,2,16.3,0.1,1,1,17.03389264,1.01E-27,,,,,,,,
3.1,2,16.3,0.1,1,1,16.99311039,1.09E-28,,,,,,,,
3,2,16.3,0.1,1,1,16.95237023,4.86E-28,,,,,,,,
2.9,2,16.3,0.1,1,1,16.91167206,1.41E-30,,,,,,,,
3.5,2,16.2,0.1,1,1,17.06442354,3.90E-27,,,,,,,,
3.4,2,16.2,0.1,1,1,17.0232315,6.50E-28,,,,,,,,
3.3,2,16.2,0.1,1,1,16.98208237,-3.97E-31,,,,,,,,
3.2,2,16.2,0.1,1,1,16.94097605,-9.22E-33,,,,,,,,
3.8,2,16.1,0.1,1,1,17.09715374,-1.41E-26,,,,,,,,
3.7,2,16.1,0.1,1,1,17.05554338,9.54E-28,,,,,,,,
