pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,,,,
2.8,2,17.1,0.2,1,1,17.08465923,-3.71E-28,,,,,,,,,,,
2.7,2,17.1,0.2,1,1,17.04665526,1.17E-27,,,,,,,,,,,
2.6,2,17.1,0.2,1,1,17.00868535,9.72E-28,,,,,,,,,,,
2.5,2,17.1,0.2,1,1,16.97075468,1.21E-27,,,,,,,,,,,
2.4,2,17.1,0.2,1,1,16.93286018,9.07E-28,,,,,,,,,,,
3,2,17,0.2,1,1,17.06956334,-3.22E-29,,,,,,,,,,,
2.9,2,17,0.2,1,1,17.0312384,-8.72E-30,,,,,,,,,,,
2.8,2,17,0.2,1,1,16.9929504,-2.33E-28,,,,,,,,,,,
2.7,2,17,0.2,1,1,16.95469865,9.70E-30,,,,,,,,,,,
2.6,2,17,0.2,1,1,16.91648298,3.31E-29,,,,,,,,,,,
3.3,2,16.9,0.2,1,1,17.09437012,5.39E-33,,,,,,,,,,,
3.2,2,16.9,0.2,1,1,17.0556801,6.29E-28,,,,,,,,,,,
3.1,2,16.9,0.2,1,1,17.01702797,-3.63E-27,,,,,,,,,,,
3,2,16.9,0.2,1,1,16.97841409,1.70E-30,,,,,,,,,,,
2.9,2,16.9,0.2,1,1,16.93983731,7.33E-34,,,,,,,,,,,
2.8,2,16.9,0.2,1,1,16.90129828,-1.42E-29,,,,,,,,,,,
3.5,2,16.8,0.2,1,1,17.08206376,9.54E-28,,,,,,,,,,,
3.4,2,16.8,0.2,1,1,17.04304019,4.25E-28,,,,,,,,,,,
3.3,2,16.8,0.2,1,1,17.00405497,3.24E-29,,,,,,,,,,,
3.2,2,16.8,0.2,1,1,16.96510787,5.84E-32,,,,,,,,,,,
3.1,2,16.8,0.2,1,1,16.92619944,5.99E-28,,,,,,,,,,,
3.7,2,16.7,0.2,1,1,17.07103637,-1.71E-28,,,,,,,,,,,
3.6,2,16.7,0.2,1,1,17.03167214,-2.25E-28,,,,,,,,,,,
3.5,2,16.7,0.2,1,1,16.99234853,-9.18E-33,,,,,,,,,,,
3.4,2,16.7,0.2,1,1,16.95306284,6.06E-29,,,,,,,,,,,
3.3,2,16.7,0.2,1,1,16.91381683,-2.09E-29,,,,,,,,,,,
3.9,2,16.6,0.2,1,1,17.06131992,-2.69E-24,,,,,,,,,,,
3.8,2,16.6,0.2,1,1,17.02161027,-6.54E-33,,,,,,,,,,,
3.7,2,16.6,0.2,1,1,16.98193998,6.84E-30,,,,,,,,,,,
3.6,2,16.6,0.2,1,1,16.94231029,5.96E-28,,,,,,,,,,,
3.5,2,16.6,0.2,1,1,16.90271988,7.40E-30,,,,,,,,,,,
4.2,2,16.5,0.2,1,1,17.09304922,-2.18E-31,,,,,,,,,,,
4.1,2,16.5,0.2,1,1,17.05294588,-1.58E-27,,,,,,,,,,,
4,2,16.5,0.2,1,1,17.01288441,1.13E-27,,,,,,,,,,,
3.9,2,16.5,0.2,1,1,16.9728622,5.97E-28,,,,,,,,,,,
3.8,2,16.5,0.2,1,1,16.93288091,-8.87E-28,,,,,,,,,,,
4.4,2,16.4,0.2,1,1,17.0864138,-4.93E-26,,,,,,,,,,,
4.3,2,16.4,0.2,1,1,17.04594999,-3.66E-28,,,,,,,,,,,
4.2,2,16.4,0.2,1,1,17.00552876,4.58E-31,,,,,,,,,,,
