pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin
1.1,2,20.4,0.4,1,1,17.08594886,1.29E-27
1.4,2,20.3,0.4,1,1,17.08979148,1.12E-27
1.3,2,20.3,0.4,1,1,17.0604058,-6.14E-28
1.2,2,20.3,0.4,1,1,17.03102935,-4.56E-30
1.1,2,20.3,0.4,1,1,17.00168759,2.00E-29
1.7,2,20.2,0.4,1,1,17.0947478,3.84E-28
1.6,2,20.2,0.4,1,1,17.06514314,1.00E-27
1.5,2,20.2,0.4,1,1,17.03555083,-1.36E-31
1.4,2,20.2,0.4,1,1,17.00599161,5.11E-28
1.3,2,20.2,0.4,1,1,16.97645026,1.09E-27
1.2,2,20.2,0.4,1,1,16.94692579,-3.38E-31
1.1,2,20.2,0.4,1,1,16.91742275,9.76E-28
1.9,2,20.1,0.4,1,1,17.07103145,1.26E-27
1.8,2,20.1,0.4,1,1,17.04123852,-5.89E-26
1.7,2,20.1,0.4,1,1,17.01144344,1.57E-29
1.6,2,20.1,0.4,1,1,16.98167008,-8.76E-30
1.5,2,20.1,0.4,1,1,16.95191124,4.75E-29
1.4,2,20.1,0.4,1,1,16.92219087,-3.60E-28
2.2,2,20,0.4,1,1,17.07811117,8.69E-28
2.1,2,20,0.4,1,1,17.04806694,-3.77E-27
2,2,20,0.4,1,1,17.01802315,-3.64E-28
1.9,2,20,0.4,1,1,16.98803832,8.42E-28
1.8,2,20,0.4,1,1,16.95809286,1.35E-31
1.7,2,20,0.4,1,1,16.92811881,-2.67E-30
2.5,2,19.9,0.4,1,1,17.08636711,1.26E-27
2.4,2,19.9,0.4,1,1,17.05612116,8.86E-29
2.3,2,19.9,0.4,1,1,17.02582466,1.82E-29
2.2,2,19.9,0.4,1,1,16.9955955,8.67E-28
2.1,2,19.9,0.4,1,1,16.96540027,-2.62E-29
2,2,19.9,0.4,1,1,16.93520849,1.01E-21
1.9,2,19.9,0.4,1,1,16.9050409,5.05E-29
2.8,2,19.8,0.4,1,1,17.09586326,-4.84E-28
2.7,2,19.8,0.4,1,1,17.06537806,7.08E-22
2.6,2,19.8,0.4,1,1,17.03484992,3.83E-29
2.5,2,19.8,0.4,1,1,17.00439553,7.80E-29
2.4,2,19.8,0.4,1,1,16.97397932,4.84E-28
2.3,2,19.8,0.4,1,1,16.94351463,4.14E-28
2.2,2,19.8,0.4,1,1,16.91312429,7.62E-22
